代码,名称,多因子等级,多因子评分,推荐等级,推荐评分,信号确认分,总市值(亿),流通市值(亿),PE(TTM),市净率,换手率%,筹码平均成本,筹码集中度%,90%成本区间宽度%,现价相对筹码成本%,筹码集中度分,成本贴合分,估值分,换手率分,市值分,估值日期,数据截至,最新收盘,前低日期,前低价,本次低日期,本次低价,DIF抬高,MACD柱抬高,当前DIF,当前DEA,当前MACD柱,站上MA20,站上MA60,距背离低点%,近5日/20日均量,最新成交额(亿),强度分位,原综合分
002366,融发核电,B,65.06,A,75.48,4,120.28,106.95,-164.59869761,2.60180645,1.792859872356401,7.23753458089579,35.37625683072845,46.305377642801155,-20.138550836677194,48.0,24.9,20.0,94.0,100.0,2026-09-22,2026-09-22,5.78,2026-06-11,5.92,2026-09-03,5.79,0.3851188920275472,0.1736748855171243,-0.0519132078529605,-0.0241515162863656,-0.0555233831331897,False,True,-0.1727115716752985,0.4899144452791711,1.92,0.833,126.48189398880916
002204,大连重工,B,64.69,B,56.6,4,105.26,105.26,16.40497537,1.31125059,2.140247560805065,6.405140363794366,35.58508471881838,38.862289084639684,-14.912091063505528,49.0,30.3,93.2,95.2,100.0,2026-09-22,2026-09-22,5.45,2026-06-08,5.456,2026-09-03,5.14,0.202306453953466,0.0490493878888775,0.0707738046696002,0.0595340432931307,0.0224795227529389,True,True,6.03112840466927,1.296856496460086,2.25,0.564,106.0574385132334
603977,国泰集团,B,64.54,B,51.29,3,71.01,71.01,31.01858785,2.06557907,0.7455550787542915,13.976829811718694,60.26808243026246,34.90678411316502,-18.2217988344062,91.7,26.8,74.3,75.9,100.0,2026-09-22,2026-09-22,11.43,2026-06-11,11.99,2026-09-02,11.24,0.2593864990765873,0.5125084757913995,-0.1246142936248873,-0.1093860734326559,-0.0304564403844627,False,False,1.6903914590747289,0.7020052567621606,0.53,0.549,105.63274975023948
601360,三六零,B,64.01,B,74.1,6,642.56,642.56,84.49359332,2.27457969,2.0889933696910856,10.893282945708854,31.699858868654562,44.60407039289219,-15.727884369181478,38.7,29.3,39.7,95.1,84.5,2026-09-22,2026-09-22,9.18,2026-06-11,8.83,2026-09-11,8.53,0.3706866114765468,0.197445456932449,-0.0324635909038075,-0.0636242905242468,0.0623213992408786,True,True,7.620164126611963,0.8938820865483093,13.42,0.691,113.52121404679058
000400,许继电气,B,63.98,B,52.66,3,207.99,207.28,21.91273641,1.68239397,0.9744985853421815,26.302708124231042,45.870494900428255,44.412276398119815,-22.365408521610252,68.1,22.6,94.0,84.1,100.0,2026-09-22,2026-09-22,20.42,2026-06-11,21.189,2026-09-03,20.94,1.0036910429328607,0.7331193737650537,-0.461646566207996,-0.3889914654757019,-0.1453102014645882,False,False,-2.4832855778414498,0.8263586118378646,2.02,0.569,106.20489394269087
688208,道通科技,B,63.73,A,79.08,5,175.12,175.12,19.69520737,4.68269871,179.25820044715888,31.62784747522486,26.830014810908903,45.130806207513864,-17.382932807967755,26.0,27.6,94.8,20.0,100.0,2026-09-22,2026-09-22,26.13,2026-06-11,26.52,2026-09-10,24.67,1.971498956596374,2.132610158288144,-0.2746882665819328,-0.3185746107008182,0.0877726882377708,True,False,5.918119173084707,0.9001965419708846,313.92,0.824,124.90147608678272
600879,航天电子,B,63.51,A,79.94,4,482.36,482.36,513.81619315,2.31307791,1.661949839923194,20.84245258077938,29.60157783444652,82.06348595853696,-29.85470427082867,34.3,20.0,20.0,93.6,90.3,2026-09-22,2026-09-22,14.62,2026-06-26,18.049,2026-09-11,14.1,0.2294676696294164,0.2428818854027628,-0.2362259258900394,-0.3540096369944502,0.2355674222088215,True,False,3.687943262411344,1.1809438054074377,8.02,0.897,133.9651849469946
002056,横店东磁,B,63.07,B,52.31,5,330.71,330.37,18.58425962,3.11788818,1.061230715054643,23.260848184452644,35.22395632847374,53.85441122338007,-12.599919664200376,47.5,40.3,94.3,91.5,98.0,2026-09-22,2026-09-22,20.33,2026-07-30,19.77,2026-09-11,19.01,1.0087816364125892,1.6713019998226926,-0.4969285913351378,-0.6303579259329392,0.2668586691956027,True,False,6.943713834823758,0.9324982252977216,3.51,0.441,99.74179088165585
002449,国星光电,B,62.79,B,60.37,6,41.25,41.25,-47.75099155,1.10201881,1.9031745373934732,7.93591339901679,53.768727873076216,35.287308303363105,-15.951703797241901,79.4,29.0,20.0,94.4,93.7,2026-09-22,2026-09-22,6.67,2026-06-29,7.21,2026-09-11,6.29,0.1519099779340686,0.0461550188013251,0.0072745812725498,-0.0080062598456217,0.0305616822363432,True,True,6.0413354531001575,0.9275892507054876,0.79,0.495,101.5044304220365
002429,兆驰股份,B,62.6,B,64.32,5,373.47,373.26,36.15357556,2.23919998,1.1064267118389468,9.769452111552985,29.378250153636305,64.88131342996456,-15.553094423341696,32.8,29.4,70.9,91.6,95.5,2026-09-22,2026-09-22,8.25,2026-06-29,9.88,2026-09-11,7.68,0.2421973283637033,0.2640850272997532,-0.0389471743757532,-0.0920026310098487,0.106110913268191,True,False,7.421875000000004,1.0056424835893252,4.13,0.613,108.61494896123948
